"ParkName","Park_No","Lon","Lat","Address",
"Abbey Road Woodlot","1","-79.255679","43.012565","148 Abbey Road",
"Almond Street Park","2","-79.236820","43.001829","",
"Aqueduct Park","3","-79.248818","43.007125","155 Gadsby Avenue",
"Aqueduct Park","3","-79.248562","43.006430","155 Gadsby Avenue",
"Bemus Park","4","-79.240018","42.980725","71 Coventry Road",
"Bridlewood Park","5","-79.278853","43.006689","79 Bridlewood Drive",
"Broadway Park","6","-79.273096","42.973284","",
"Brookhaven Park","60","-79.289747","43.011219","135 Brookhaven Court",
"Burgar Park","7","-79.242357","42.989403","126 Burgar Street",
"Chaffey Park","10","-79.244766","42.972037","166 Chaffey Street",
"Chippawa Park","11","-79.258156","42.997343","90 First Avenue",
"Cook's Mills 1812 Peace Garden","65","-79.185350","42.993515","",
"Cooks Mills Park","12","-79.189186","42.997033","630 Lyons Creek Road",
"Coyle Creek Park","61","-79.281026","42.983987","271 Creekside Drive",
"Deere Street Park","13","-79.239690","42.966129","187 Sager Avenue",
"Dover Park","14","-79.243139","42.982401","60 Dover Road",
"Dunkirk Park","15","-79.242209","42.981418","93 Dunkirk Road",
"Elmwood Park","17","-79.263436","42.982674","78 Elmwood Avenue",
"Gaiser Park","62","-79.282669","42.985658","424 Gaiser Road",
"Glen Park","19","-79.273945","43.001974","54 Glen Park Drive",
"Glenwood Park","20","-79.240674","42.942581","130 Glenwood Parkway",
"Gram Avenue Park","21","-79.251448","43.011885","64 Gram Avenue",
"Hooker Street Park","22","-79.255620","42.987786","",
"Hooker Street Park","32","-79.255827","42.988535","",
"Hooker Street Tennis Club/Park","22","-79.254261","42.988740","",
"Jennifer Park","23","-79.245269","43.006782","50 Ann Street",
"John Deere Park","24","-79.245015","42.948666","",
"John Deere Park","24","-79.245011","42.948290","",
"Lancaster Park","26","-79.246674","43.019404","190 Lancaster Drive",
"Manchester Park","27","-79.231172","42.988953","835 Welland Street",
"Maple Park","28","-79.283337","43.001063","512 South Pelham Road",
"Memorial Park","29","-79.227528","42.978081","404 Memorial Park Drive",
"Memorial Park","29","-79.224813","42.976741","404 Memorial Park Drive",
"Merritt Park","30","-79.251571","42.989486","115 King Street",
"Mill Street Park","31","-79.254171","42.992975","40 Mill Street",
"Ontario Road Dog Park","64","-79.257637","42.973833","2 Ontario Road",
"Plymouth Park","33","-79.244950","42.977964","200 Plymouth Road",
"Prince Charles Park","34","-79.261029","42.991557","6 Colbeck Drive",
"Prince Charles Park","34","-79.259722","42.992772","6 Colbeck Drive",
"Quaker Road Park","63","-79.241318","43.023506","12 Quaker Road",
"Raillands Park","35","-79.241369","42.971163","",
"Ricelawn Park","36","-79.275114","43.014485","",
"River Road Park","38","-79.244362","42.996066","309 River Road",
"River Road Park","38","-79.242878","42.997849","309 River Road",
"River Road Park","38","-79.240714","43.000331","309 River Road",
"River Road Park","38","-79.239378","43.002296","309 River Road",
"River Road Park","38","-79.238365","43.004481","309 River Road",
"River Road Park","38","-79.242207","42.998622","309 River Road",
"River Road Park","39","-79.242806","42.997294","172 River Road",
"Riverbank Park","37","-79.254987","42.994165","59 Riverbank Street",
"Riverbank Park","37","-79.254248","42.994062","59 Riverbank Street",
"Riverbank Park","37","-79.253271","42.993934","59 Riverbank Street",
"Riverside Park","40","-79.273941","42.980430","",
"Seaway Park","41","-79.232506","42.964663","",
"Seaway Park","41","-79.232529","42.965830","",
"Sherwood Forest Park","42","-79.262400","43.008058","115 Rolling Acres Drive",
"Skate Park","66","-79.253583","42.980815","145 Lincoln Street",
"Sports Complex","18","-79.245892","43.024265","90 Quaker Road",
"St. George Park","43","-79.271434","42.967956","391 St. George Street",
"Station Park","44","-79.253074","42.976718","",
"Stop 19 Park","45","-79.271606","43.006686","69 Rose Avenue",
"Stop 19 Pathway","46","-79.275455","43.008300","",
"Stop 19 Pathway","46","-79.279787","43.017517","",
"Stop 19 Pathway","46","-79.280173","43.024522","",
"Stop 19 Pathway","46","-79.266641","42.998015","",
"Stop 19 Pathway","46","-79.269946","43.002007","",
"Stop 19 Pathway","46","-79.262212","42.993333","",
"Summerlea Park","47","-79.276803","43.027283","121 Montgomery Road",
"Thorold Road Park","48","-79.269437","43.002876","884 Prince Charles Drive North",
"Trelawn Park","49","-79.253245","43.018356","105 Page Drive",
"Trelawn Park","49","-79.253059","43.020054","105 Page Drive",
"Triangle Park","50","-79.237506","42.974349","210 Southworth Street",
"WRCC Lands","8","-79.249488","42.995680","",
"WRCC Lands","8","-79.248794","42.996428","",
"WRCC Lands","8","-79.247764","42.997400","",
"WRCC Lands","8","-79.246810","42.998316","",
"WRCC Lands","9","-79.251238","42.994402","92 Niagara Street",
"WRCC Lands","59","-79.252199","42.987245","",
"Waterview Park","51","-79.272780","42.982367","179 Waterview Court",
"Westbrook Park","53","-79.281280","42.991206","",
"Willson Park","54","-79.269605","42.989054","43 Endicott Terrace",
"Windsor Park","55","-79.261152","42.981245","",
"Winfield Park","56","-79.283602","43.015582","27 Countryside Drive",
"Winstonville Playgound","57","-79.238380","42.982646","38 Wavell Court",
"Woodlawn Park","58","-79.275020","43.012254","400 Woodlawn Road",
